Rating,Date,Content
3.50,2022-11-11,"After the release of Tranquility Base Hotel + Casino, most listeners became divided in the new sonic direction that Arctic Monkeys went in and rightfully so. With the release of their latest record, The Car, Arctic Monkeys are doubling down on their previous efforts but with better execution. At times, it feels like they continue to play into the tropes that lock them into mediocrity.

Production: First and foremost, just like Tranquility Base Hotel + Casino, the record sounds astonishingly well done. These tracks come off as something that was recorded in the mid-'70s onto tape and mixed on an analogue board and that perhaps is the case. The record is so full and lush that you can close your eyes and let your mind wander with how soft and padded the instrumentation are. One track to another, it's consistent in its sonic approach, at most there are changes to the tones of their guitars but other than that it feels like the album was recorded in 1 extensive studio session. You have your usual fuzzy, wah-wah-infused guitars, big and lush bass lines, and soft yet well-textured drums with the Fender Rhodes to fill in space when needed. What is new though is the use of string arrangments on almost every track, they incorporate strings to provide a grander emotional execution to the endings or to further support Alex in his performances. This perhaps is the greatest addition or change to their sound as it reduces the repetitiveness and slog that came with the previous record.

Mixing: Alongside the production, it feels all the recording and mixing were done from tape to an all-analogue board and then digitally transferred to get mastered. The soundscape is texturally padded and not a single thing pops out of the mix unless it is required to relay a message of the music. At most Alex turner is the only thing that changes dynamically besides the strings and it's quite noticeable from the recordings. Everything is well separated, and to fill and pad the space that is where strings and further use of the Fender Rhodes appear to interconnect the instrumentation into this warm haze that can be described as a dim light in the distance covered in fog.

Songwriting: Musically, its smooth, warm and sensual, practically anyone can put on this record and let themselves drift away into the record, but the one thing that is stopping the record from progressing any further than just a great audiophile recording is Alex Turner. Alex is one of those songwriters of which you either enjoy his obscure writing style or are off put by it. For the most part throughout the record, it's the latter. It's simply put, boring, while the tracks are running at a steady pace at around a 3:20 min pace, Alex doesn't seem able to progress any of his ideas to full visions. Most of the time it just feels like random ideas or sentences that at face value seem like great Quotables, but when strung into a full-length track and let alone a full-length tracklisting, it comes off as dull and annoying after a while. The same can be said about his performances on the record but that is what is to be expected at this point coming from the previous record.

Overall: Now while most who will be listening to the new Arctic Monkey's album is of those who are fans or are trying to see if they have recaptured their hit-making capabilities off of AM or their high and hungry energy off of something like off of Whatever People Say I Am, That's What I'm Not, this is not the case. They double down on what worked for them beforehand in 2018 but with a few improvements in the musical arrangements. It's worth a listen for those who want a great-sounding recorded, but not for those who can't tolerate Alex Turner in his ability to write."
4.00,2022-11-07,"Highly anticipated and it delivered for me. We knew we weren't going to get the energy of their debut album and this is a conceptual album, something we dont associate the AM with but it's a good change"
5.00,2022-11-05,"Not for rockists. Alex sings sometimes like Curtis Mayfield, there is a late 70s slow funk sound in some songs (I Aint Quite Where I Think I Am"", ""Jet Skis On the Moat"" ...) It is like if one of my rare favorite rock groups was moving to my own tastes for soul and lounge, justifying long afterwards my interest in them. There are guitars, be reassured, but also beds of strings while Alex croons, Northern (Soul) style ...

I was certain it would be a good album and longing to listen to it, and finally I like it even more than expected. I don't know how high those Monkeys will climb, but they are already much higher than most pop and rock acts.

P.S. : After three listenings, I find it even better."
,2022-11-04,"“A musician who loves the slow tempo will take the same pieces of sound slower and slower. So there is no standing still in any love.” (FN, 294)

The album begins and with the first bar it is already clear – everything is different. The next 37 minutes will be something “special”, whether good or bad cannot be said yet – basically, in modern times the word special is too often appointed as a synonym of praise – but our intuition shakes us awake. But this should give us pause for thought. After all, our intuition is frequently a way out to avoid actual intellectual debate and instead surrender to the “inner voice” that sometimes borders on the esoteric. In this way, however, intuition typically becomes an easy victim of ideology. What we ourselves call our own “inner voice” is in fact a complex web of ideological delusions that covers its tracks as it passes through us – by influencing our behaviour – recycling itself and ultimately reinventing itself. After all, we live in a time when our smartphones, our search engines, etc. know us better than we know ourselves, so that we begin to dissolve our selves into ourselves. Similar things can also be found in Horkheimer and Adorno, albeit in a different context, but that does not diminish the accuracy of the actual statement:
“While the individual disappears before the apparatus he serves, he is better supplied by it than ever.” (TWA, 4).

A similar motif is found in the second song on the album, entitled “I Ain't Quite Where I Think I Am”, which states:
“Freaky keypad by the retina scan.
[…]
I ain't quite where I think I am
[…]
You know the face, but you can't see past”.

At this point it is easy to take the common route of direct interpretation, but I think we need to break away from this approach and use a cultural critical dialectic to analyse what is being said, as anything else would only touch the surface. For example, a simple interpretation could be that the lyrical self has changed, due to external and internal circumstances, but his biology has remained the same (“Retina Scan”). However, I argue for a more radical interpretation. The sentence: “You know the face, but you can't see past”, suggests an alienation of the individual from himself, as Horkheimer and Adorno also diagnosed it in the above quote. But what if the individual himself is looking for something that is not there? Recently we have been hearing again and again about what lies behind the “mask”, the hidden personality, the deepest inner self; or as many C. G. Jung followers would say, the subconscious. But what if that doesn't exist at all? Slavoj Žižek has an ideology-critical answer ready for us:
“We deceive the other with the truth: in a world where everyone is looking for the truth behind the mask, the best way to deceive everyone is to wear the truth itself as a mask.” (SZ1, 77).

So what if Arctic Monkeys have realized this (indeed, it doesn't matter whether they have realized it or not, art is always to be separated from the artist)? What if the “tangible personality” of this album doesn't give a glimpse behind the mask at all, but instead shows the artist/band as they are? Individuals who move through time and, in the style of Baudrillard, slowly lose themselves in the recursive loop of hyperreality and/or unlearn to see themselves as themselves and instead search for their own “mask”, which does after all not exist.

In several places throughout the album, there are small references that could confirm this thesis:
“And how's that insatiable appetite?
For the moment, whеn you look them in the eyеs
And say, “Baby, it's been nice”” (There'd Better Be a Mirrorball)

“Is that vague sense of longin' kinda tryin' to cause a scene?
[…]
Puncturing your bubble of relatability
[…]
The simulation cartridge for City Life '09
[…]
Flash that angle grinder smile, gasp, and roll your eyes” (ibid.)

“They shot it all in CinemaScope
As though, it's the last time you're gonna ride” (Jet Skis on the Moat)

And so on.

Another clue is provided by the monotony of this album, which is often so strongly criticized. The simplest explanation is also the most boring: in the attempt to compose a concise concept album, they have not managed to get a grip on conformity and variety. However, we must not forget the expressionism of bygone days here, which tried to draw attention to the dreariness of the machine-driven world through its grey-on-grey aesthetics. A probably very well-known example is the film “Metropolis”. And indeed: even now we are experiencing an advancing alienation from ourselves and an absorption in the machine. This also shows that the title, “The Car”, is by no means a coincidence. The car has always been man-turned-into-a-machine and is increasingly displacing real people from their habitat (forests criss-crossed by roads, public parks turned into car parks, etc.). This circumstance also manifests itself linguistically: when an engine goes out, we say it has died. The monotony of the work is therefore not a failure in this case, but on the contrary, a success. Like an engine, it pounds in the same beat, repeating and overtaking itself, just as a machine would. Furthermore, this circumstance could also be diagnosed as a critique of the culture industry itself. As Wolfgang M. Schmitt and Ole Nymoen point out in their “Influencers. The Ideology of Advertising Bodies” note:
“'Immergleichheit[roughly sameness]', according to Horkheimer and Adorno, characterizes the culture industry, which itself must be understood as 'the most unbending style'” (WMS, 63).
So a perpetual sameness, as an allusion to the perpetual sameness of the music scene, in which something that has worked once is endlessly replicated, only under a different name. In such a case, the name is secondary anyway, because no individuality is being striven for, it's simply about exploiting the zeitgeist. Slavoj Žižek has an interesting point of view on the culture-industrial exploitation of our time in his work “Trouble in Paradise”:
“[T]he exploited are not only those who produce [in this case the musicians who have to chase a trend in order to survive in the fiercely competitive business] or 'create', but also (and even more) those who are condemned not to create” (SZ2, 23). At this point, Žižek pleads for a dialectical reinterpretation: the concept of exploitation thus contains its own negation. Not only the directly exploited musicians, who have to give up their creativity and thus no longer correspond in any way to the artist portrayed by Thomas Mann in Tonio Kröger, but also those who are prevented from being able to create anything at all. A buzzword that comes to mind at this point is the so-called “gatekeeping”, which is certainly celebrating one of its high points in the music industry. Similar to the world of influencers, there is a belief that everyone can make it, as long as they put in the effort and show performance. This is not the case, neither with influencers nor in the music industry, as Wolfgang M. Schmitt and Ole Nymoen observe:
“Everyone – they are the best proof – can do it. Everyone is different and is allowed, no, should be. But the claimed plurality is merely colourful uniformity. Content that challenges the viewer is almost nowhere to be found.” (WMS, 61)
It is all the more astonishing that an established band like Arctic Monkeys has created just such challenging content. Sure, we're not talking about a creative quantum leap like Radiohead did in the past, for example, but it takes a fair amount of courage to release an almost 5-minute-long track in these days when tracks tend to get shorter, reduced to a minimum, adjusted to TikTok. In my last review, I spoke of Yeah Yeah Yeah's lack of courage, here it is. An album that resists the TikTok aesthetic and the trend of art to indispensably follow said aesthetic.

I conclude with another quote from Horkheimer and Adorno:
“What would be different is made equal. That is the verdict that critically erects the limits of possible experience. The identity of everything with everything is paid for by the fact that nothing may at the same time be identical with itself.” (TWA, 18)

Arctic Monkeys are victims of our modern times: due to the omnipresent monotony of our everyday life, art has to become a spectacle and is no longer allowed to be simply art. It is degraded to a pure entertainment medium, orchestrated by the system to wash away any radical ideas from the mind. Variety – necessary to sustain production – is outsourced; modern music follows algorithms, which in turn follow the human psyche, which in turn simply wants dopamine. At the beginning, I wrote that something was missing. However, it is not the album that is missing something, we are. “The Car” therefore does not deliver what it is supposed to, but thus delivers exactly what it has to: an old, new, ever-same perspective, which, however, only reveals itself to us when we stop just listening and start hearing instead.

Written by Robin Krause.

Quotations:
FN (*): Nietzsche, Friedrich: Friedrich Nietzsche, Gesammelte Werke. Enthält u. a. Zarathustra, Antichrist, Ecce Homo, Anaconda Verlag, 2012.
SZ1 (*): Žižek, Slavoj, Das erhabene Objekt der Ideologie, Passagen Verlag, Wien, 2021 (1989, Originalausgabe bei Verso).
SZ2: Žižek, Slavoj: Trouble in Paradise: From the End of History to the End of Capitalism, Penguin (E-Book), 2015.
TWA (*): Horkheimer, Max und Adorno, Theodor W.: Dialektik der Aufklärung:
Philosophische Fragmente (E-Book), Fischer E-Books, 2010.
WMS (*): Nymoen, Ole/M. Schmitt, Wolfgang, Influencer. Die Ideologie der Werbekörper, Suhrkamp, Berlin, 2021."
2.00,2022-11-04,A strange mix of glacial Scott Walker-esque beauty and really limp attempts at funkiness. The latter vastly out-number the former. There's a dearth of tunes to the point where this is completely unlistenable which isn't redeemed by the moments when the beauty shines through. Largely turgid and a real waste of talent.
4.50,2022-11-03,"This album isn't anything extraordinarily new for the world, but it is a very bold new direction for Arctic Monkeys.

To me it is technically impecable. The production, the handling of the instruments, the vocals and the lyrics are all top notch.

It is definitely inspired by David Bowie, it has tinges of the recent soul-inspired standouts in the current zeitgeist, but I've read other reviews and was left wondering how are these negatives? Why do bands need to stay in the pigeonhole we appoint them to?

Because it's not a half-attempt at paying homage by a semi-talented bunch, it's a real attempt by the extremely talented Arctic Monkeys, and it is good. A thoroughly enjoyable experience. I'd pick it over the 2 Frank Ocean albums, and I'm hopefully not saying this to take a jab at Frank Ocean, but just to illustrate that different people doze off at different things.

Anyway, less about what other people say about this album and more about what it is: it's slower, indeed.

The first half is very strong and decently varied within the constraints of the direction. The second half meanders a bit.

But it is not edgy, it does not attempt to be a cult darling, it doesn't go out of its way to appease - all positives for me, maybe less so for consumate art consumers-, it is an honest appreciation of a particular style of music, and there is plenty to enjoy in there."
3.00,2022-11-02,"One of their weakest albums. I admit that I have not listened to it enough to be able to give a complete judgment like what I can give to the other albums, however I believe that the charming of the others is more on my listening radar. There are some really nice tracks: There'd Better Be A Mirrorball is a great ballad accompanied by sweet strings and a hypnotic drum beat, a great introduction to the concept of the album; Body Paint, although it could be mixed much better, has all the elements needed to make the song an excellent piece of music composed like god commands and various sections that hark back to the Beatles and Bowie. The other tracks on the album are inferior in my opinion but there are some highs like Sculptures of anything goes, the title track and Hello You. The rest for now is quite meh ish for me. I don't like how they introduced the funk sound and Alex's vocals are gradually getting worse (although I enjoyed his performances in TBHC, especially in The Ultracheese). I hope it will grow in me over time but for now it's the penultimate in my pick of arctic monkeys albums, just above Suck it And See."
1.50,2022-10-31,"If you were to take a 1970's David Bowie record and strip away much of its soul, glamour and memorable songwriting, you would most likely end up with something like this. Save for a few good moments such as the opening and closing tracks, much of this record was just insanely boring. Chord progressions are generic, songwriting is uninspired, melodies do nothing for me and the vocals are just straight up awful. This whole Bowie impression feels unfaithful at best and downright insulting at worst. As boring as much of this album tends to be, there were actually a handful of tracks that were just unbearable. Take, ""Jet Skis on the Moat"" and ""Sculptures of Anything Goes"" where the total lack of anything interesting results in painfully meandering tunes that feel twice as long as the runtime suggests.

This album just feels like a soulless homage to old school pop and glam music, removed from its best qualities and way too derivative of the time period to give it a fresh, modern spin. But I will say that there were some moments, rare moments mind you, where some of the melodies and some of the arrangements were actually quite nice like on the tracks, ""There'd Better be a Mirrorball"" and ""Body Paint"". Ironic considering these two tracks were the lead singles for the album. But sadly, tracks of that quality were too far in between to really keep me invested throughout my entire listen. Outside of that, this album was just too boring and rudimentary that I honestly lost interest by the fifth track. But whenever I did at least try and get invested in the compositions, those horrendous fucking vocals kept pulling me out of the entire experience.

Had the vocals been at least serviceable, this album as a whole would've been as such. Sure, sonically, this album is mostly pretty empty and the instrumentation is absolutely nothing to write home about but had this been the case, I would've just shrugged, let out a nonchalant ""eh"" and went on with my day but...nah, the vocals turn a boring but inoffensive record into a terrible one. It's funny because on previous records, Alex Turners vocals weren't anything bad at all but honestly, that's likely because his style is more fitted for garage rock than it is this watered down glam-era Bowie bullshit. To me, this just sounds like a really terrible impersonation of the man, almost like the shit you'd hear in a karoke performance of ""Life on Mars"" with your best friend after he got absolutely hammered.

3.5/10"
3.00,2022-10-31,"I did not love this album. It didn’t really resonate with me, and from the looks of it; didn’t resonate with many others. I listened quite a few times and couldn’t get hooked. Despite this; Body Paint is one of their best songs to date. Otherwise; I’m not a fan of the different approach the band took. It does make me curious where the band will go next."
3.50,2022-10-31,"The first 5 songs are amazing, then the title track the car comes and kind of ruins it, but then it’s saved by the rest of the album, although not being as good as the first half, being much better than the title track."
1.00,2022-10-31,I'm refunding my arctic monkeys tickets this shit is terrible
3.50,2022-10-30,"More like Arctic Musings am I right? They should rename themselves Arctic Meanderings, ha ha! Yo, wouldn’t it be funny if they renamed themselves Abstract Monkeys? The Car is what would happen if Alex Turner never saw Bladerunner and instead binged thousands of arthouse pictures from the Golden Era of Hollywood. It’s artsy, it’s a little pretentious and it’s very meandering. Lyrically there is never really a topic of focus, and with the increased orchestration and the oft-gentle vocals, it’s a good fit. Alex has the suave personality to pull it off, and can up the pretentiousness without it becoming overbearing or even particularly noticeable. It does lose the sharpness of their best work, and that’s something that I missed listening to this, but it’s another solid record from the group that takes the band into even more unexplored territory. They explore it well, it just doesn’t quite feel exhilarating."
3.00,2022-10-29,"I am whelmed.

I really wanted to like this album and maybe three tracks in, I thought I really was going to. But then the instrumentals - while still beautifully arranged and produced - kept going on and on in the exact same manner and Alex Turner kept on singing in this very weird, sometimes croon, sometimes spoken word-ish style and the whole thing kind of fell apart for me by the end.

It's not a bad album. Again, instrumentally it sounds nice and there are several moments that I did appreciate. But my god is it monotonous when you listen to it all the way through.

While Tranquility Base still had a loose concept going on with the eponymous fictional recreational space, The Car lacks even that and Arctic Monkeys - for me anyways - is more and more becoming a synonym for elevator music, just kind of running in the background.

I get that this seems to be kind of the point with Arctic Monkeys' new sound and the lounge-y direction, but I have a hard time seeing the appeal of it. It's not bad, it's not really good, it just kind of... is."
3.00,2022-10-29,"The Car is a easy listening album with lots of strings and slow paced songs, relaxing rock you could call it.
It's not bad to listen to for sure, but it makes me nostalgic to put on the old stuff with a bit more punch and more garage rock/alternative style that turned me into a fan to begin with.

Certainly not a bad album, just not my thing."
2.00,2022-10-28,"What a boring, unmemorable album."
2.00,2022-10-28,"well orchestrated album that thinks it is smarter than it actually is and a lot of the songs kind of blend into mush. while this sounds like it would be outright unbearable--there are several saving graces. these include Turner's bizarre Bowie-like delivery, indulgence in this weird type of chamber glam sound, and self-reflective wallowing that I find oddly audacious. a listen I do not regret--but I doubt I will come back.

not my thing--worth a listen"
2.00,2022-10-28,"the car is in many ways forced maturity . i was actually holding out candles for this album bc in many cases the single id been listening to - aka the opener of the album - was quite good !! its unfortunate this is just another outing of mediocrity for the band though as expected . alex turner isnt really that potent a vocalist nd when u direct yr bands direction into a more stripped back sound knowing that yea it just doesnt work out for the band here . some nice david bowie worship but ultimately the sound they started out just pan together much better lol . who asked arctic monkeys for this

its kinda insane to me arctic monkeys fans are still desperately holding on to a possible critical reevaluation of the band when this band never was really as good as ppl say they were in the first place . like yeah if their music has been made by any other annoying indiebro acts or if they had come from the windmill act or smth yeah believe me theyd just be as overrated as yr bcnr yr black midi or yr sufjan stevens but im sorry to break it to u theyr perfectly rated as is . the cope is kinda hilarious honestly"
